Sample Name	Ag	Al	As	Au	B	Ba	Bi	C	Ca	Cd	Ce	Co	Cr	Cu	ENA	Fe	Ga	Ge	H	Hf	Hg	In	La	Mg	Mn	Mo	N	Nb	Nd	Ni	O	P	Pb	Pd	Pr	Pt	Re	Rh	S	Sb	Sc	Se	Si	Sm	Sn	Sol_Al	Sol_B	Sol_Ca	Sol_Ti	Sr	Ta	Te	Th	Ti	Tl	V	W	Y	Zn	Zr	Column1
IARM 3A		0.012			0.0002			0.076				0.11	22.54	0.31		61.8318									1.58	0.36	0.089	0.02		12.48	0.02	0.026	0.004						0.002				0.43		0.007									0.002		0.06	0.04				
IARM 3B		0.009	0.0053		0.0004		0.0024	0.058	0.0001			0.093	22.41	0.282		61.5552								0.0001	1.68	0.49	0.079	0.077		12.62	0.0044	0.027	0.0015						0.0034			0.0072	0.46		0.008						0.0069	0.0001		0.004		0.066	0.047			0.003	
IARM 42A		0.0242			0.0007			0.3879	0.0002			0.0152	5.4207	0.07		89.9984									0.3472	1.2855	0.0143	0.0013		0.3227	0.0019	0.0114	0.005						0.0068	0.001			1.035		0.0053									0.0053		1.024	0.0135			0.0025	
IARM 49B		0.028	0.005		0.0002			1.04	0.0001			0.008	1.51	0.13		96.3893									0.4	0.031	0.0082	0.002		0.098	0.0007	0.017	0.01						0.016				0.28		0.008									0.003		0.005	0.01			0.0005	
IARM 4A		0.01			0.004			0.068				0.1	25.48	0.3		51.301									1.69	0.15	0.064	0.027		20.05	0.019	0.028	0.005						0.004				0.53		0.009						0.005			0.006		0.1	0.05				
IARM 4B		0.0119						0.0594				0.2334	24.334	0.1511		52.4267									1.4981	0.1089	0.0369	0.0294		20.003	0.0044	0.0254							0.0026				0.9688		0.0044									0.0046		0.0752	0.0218				
IARM 4C		0.01			0.0003			0.064				0.098	23.95	0.23		53.7796									1.69	0.224	0.039	0.013		19.3	0.0054	0.029							0.0017				0.454		0.007									0.003		0.078	0.024				
IARM 4D		0.009	0.003		0.0008			0.052	0.001			0.07	24.34	0.217		52.8275								0.0003	1.2	0.39	0.046	0.01		20.2	0.004	0.022	0.0003						0.0009				0.49		0.007						0.005			0.0042		0.073	0.026			0.001	
IARM 59A-NI		0.05			0.002			0.0197				0.2482	22.1186	1.7067		30.8162								0.001	0.3317	2.6756		0.023		40.8859		0.0175							0.001				0.0986		0.001						0.01			0.8271		0.0282	0.128			0.01	
IARM 5A		0.01			0.0005			0.053				0.13	16.75	0.4		67.7675									1.61	2.1	0.035	0.03		10.29	0.033	0.027	0.006						0.024				0.59		0.002									0.002		0.09	0.05				
IARM 5F		0.003	0.006		0.0007			0.044	0.0006			0.33	17.5	0.38		67.0649									1.65	2.03	0.031	0.009		10.48	0.0047	0.028	0.0001						0.025				0.267		0.01						0.003			0.002		0.081	0.05				
IARM 5H		0.004	0.007		0.0009			0.047	0.002			0.25	16.86	0.46		68.1196									1.46	2.03	0.051	0.016		10.05	0.006	0.03	0.0005						0.03	0.002			0.405		0.011						0.003			0.003		0.068	0.081			0.003	
IARM 6A		0.023			0.0004			0.046				0.19	17.41	0.18		68.4391									1.95	0.37	0.011	0.06		10.16	0.023	0.02	0.007						0.004				0.57		0.005						0.0015			0.36		0.14	0.03				
IARM 6B		0.0885			0.0004			0.0387				0.1278	18.1374	0.3817		68.7835									1.3451	0.3183	0.0214	0.0205		9.6415	0.0022	0.0299							0.0067				0.6997		0.0115									0.2272		0.0737	0.0443				
IARM 6C		0.064			0.0003			0.038	0.0039			0.139	17.61	0.13		69.9888									1.73	0.09	0.027	0.003		9.23	0.0021	0.038	0.0012						0.0087			0.0012	0.61		0.005						0.0032			0.22		0.039	0.013			0.0046	
IARM 7A		0.022						0.063				0.06	19	0.19		41.8735									1.51	0.31	0.038	0.013		35.53	0.014	0.018	0.005						0.004				1.24		0.003						0.0075			0.004		0.05	0.045				
IARM 7B		0.0226			0.0022			0.0623				0.069	19.3237	0.2052		41.2838									1.471	0.1944	0.013	0.0232		35.8369	0.0026	0.0177							0.0011				1.3838		0.0038									0.0049		0.0478	0.031				
IARM 7C		0.02			0.003			0.065				0.04	18.4	0.03		43.7779								0.002	1.32	0.09	0.034	0.19		34.7	0.002	0.014	0.0005						0.0006				1.21		0.002									0.019		0.06	0.02				
